,Release Date,Movie,Production Budget,Domestic Gross,Worldwide Gross
4286,12/31/2009,Four Single Fathers,3000000,0,0
4287,8/14/2015,Amnesiac,3000000,0,0
4288,12/31/2015,Unnatural,3000000,0,0
4289,42320,Close Range,3000000,0,0
4290,2/15/1950,Cinderella,2900000,85000000,263591415
4291,11/20/1998,Central do Brasil,2900000,5969553,17006158
4292,22282,Pocketful of Miracles,2900000,5000000,5000000
4293,3/24/2006,Boynton Beach Club,2900000,3127472,3127472
4294,40188,Freakonomics,2900000,101270,172867
4295,8/19/2011,Griff the Invisible,2900000,20778,25935
4296,3/29/1959,Some Like it Hot,2883848,25000000,25000000
4297,38631,High Tension,2850000,3681066,6435262
4298,12/15/1974,Young Frankenstein,2800000,86300000,86300000
4299,6/25/1976,The Omen,2800000,48570885,48570885
4300,7/22/2005,Hustle & Flow,2800000,22202809,23591783
4301,5/13/1988,Friday the 13th Part VII: The New Blood,2800000,19170001,19170001
4302,9/15/2006,Artie Lange's Beer League,2800000,475000,475000
4303,8/25/1939,The Wizard of Oz,2777000,33711566,33754967
4304,2/15/2008,Diary of the Dead,2750000,952620,5394447
4305,10/17/1979,The Black Stallion,2700000,37799643,37799643
4306,6/13/1997,Ulee's Gold,2700000,9054736,15600000
4307,38726,Lage Raho Munna Bhai,2700000,2217561,31517561
4308,12/31/2015,Sardaar Ji,2700000,0,8200000
4309,12/31/2008,Rejsen til Saturn,2700000,0,5377665
4310,23012,Donovan's Reef,2686000,6600000,6600000
4311,1/16/1998,The Dress,2650000,16556,16556
4312,12/24/1943,A Guy Named Joe,2627000,5363000,5363000
4313,27030,Blazing Saddles,2600000,119500000,119500000
4314,4/13/1984,Friday the 13th Part IV: The Final Chapter,2600000,32980880,32980880
4315,41675,Ida,2600000,3827060,15298355
4316,31778,Maurice,2600000,3130592,3130592
4317,38237,Riding Giants,2600000,2276368,3292333
4318,39794,Los Cronocrímenes,2600000,39127,564474
4319,12/31/2011,La Cara Oculta,2600000,0,7033931
4320,39275,Timber Falls,2600000,0,71248
4321,12/31/2008,Silver Medalist,2600000,0,0
4322,40547,"Fat, Sick & Nearly Dead",2600000,0,0
4323,19271,Singin' in the Rain,2540000,7200000,7200000
4324,41579,A Haunted House,2500000,40041683,59922558
4325,7/13/2012,2016: Obama’s America,2500000,33349941,33349941
4326,41340,Kevin Hart: Let Me Explain,2500000,32244051,32327255
4327,7/28/2004,Garden State,2500000,26782316,36028802
4328,35165,That Thing You Do!,2500000,25857416,34557416
4329,10/30/1981,Halloween II,2500000,25533818,25533818
4330,10/22/1982,Halloween 3: Season of the Witch,2500000,14400000,14400000
4331,39457,Religulous,2500000,13011160,13881317
4332,25934,Escape from the Planet of the Apes,2500000,12300000,12300000
4333,5/29/1963,Hud,2500000,10000000,10000000
4334,41313,The Spectacular Now,2500000,6852971,6916951
4335,9/29/1991,My Own Private Idaho,2500000,6401336,6401336
4336,1/27/1995,Before Sunrise,2500000,5274005,5677093
4337,8/17/2012,Robot & Frank,2500000,3317468,4934356
4338,37690,Sur Le Seuil,2500000,2013052,2013052
4339,6/16/2000,Jesus' Son,2500000,1282084,1687548
4340,5/27/2005,Saving Face,2500000,1187266,1269705
4341,6/20/2008,Brick Lane,2500000,1094998,3838486
4342,41277,The Lost Medallion: The Adventures of Billy Stone,2500000,549632,549632
4343,9/26/2003,My Life Without Me,2500000,432360,12267275
4344,3/31/2006,Marilyn Hotchkiss' Ballroom Dancing and Charm School,2500000,349132,497195
4345,40547,Super,2500000,327716,593933
4346,11/14/2008,Fuel,2500000,174255,174255
4347,40425,Valley of the Hearts Delight,2500000,118666,118666
4348,10/31/2008,The Other End of the Line,2500000,115504,507446
4349,6/18/2010,8: The Mormon Proposition,2500000,100280,100280
4350,4/17/2009,Sleep Dealer,2500000,80136,108907
4351,8/24/2007,Eye of the Dolphin,2500000,72210,72260
4352,8/16/2013,Underdogs,2500000,35017,35017
4353,36747,Anatomie,2500000,9598,9598
4354,12/31/2009,The Calling,2500000,0,0
4355,6/21/2013,Alien Uprising,2500000,0,0
4356,12/31/2010,Christmas Mail,2500000,0,0
4357,42070,Stung,2500000,0,0
4358,12/31/2017,Sky Sharks,2500000,0,0
4359,10/13/2015,8 Days,2500000,0,0
4360,42409,Antibirth,2500000,0,0
4361,42402,The Rise of the Krays,2500000,0,0
4362,5/13/2011,Go For It!,2450000,180237,182358
4363,10/16/1996,Get on the Bus,2400000,5691854,5691854
4364,39203,Thr3e,2400000,1008849,1420418
4365,38726,Idiocracy,2400000,444093,500296
4366,11/14/2014,Always Woodstock,2400000,0,0
4367,7/25/2007,This is England,2380000,327919,8739576
4368,16072,Bathing Beauty,2361000,3500000,3500000
4369,3/20/2015,Do You Believe?,2300000,12985600,14305540
4370,9/24/1951,Show Boat,2300000,11000000,11000000
4371,35800,"Dancer, Texas Pop. 81",2300000,574838,574838
4372,8/26/2011,Redemption Road,2300000,29384,29384
4373,4/15/2015,The Toxic Avenger Part II,2300000,0,0
4374,1/19/2016,Eden,2300000,0,0
4375,6/19/1987,The Brave Little Toaster,2300000,0,0
4376,11/13/1940,Fantasia,2280000,83320000,83320000
4377,8/13/1982,Friday the 13th Part 3,2250000,36690067,36690067
4378,26186,The French Connection,2200000,41158757,41158757
4379,3/22/1985,Friday the 13th Part V: A New Beginning,2200000,21930418,21930418
4380,39327,The Last Sin Eater,2200000,388390,388390
4381,12/31/2008,Impact Point,2200000,0,0
4382,16438,The Valley of Decision,2160000,9132000,9132000
4383,12/31/2005,Chicken Tikka Masala,2160000,0,37865
4384,39639,Jack Brooks: Monster Slayer,2150000,0,0
4385,11/21/1946,The Best Years of Our Lives,2100000,23600000,23600000
4386,7/13/2001,Bully,2100000,881824,1381824
4387,5/29/2002,Elling,2100000,313436,313436
4388,10/16/2016,Mi America,2100000,3330,3330
4389,7/14/2009,[Rec],2100000,0,23266821
